state,age_of_mother,mothers_single_race,year_of_death,month_code,month,death_rate,after_injunction,abortion_illegal,reliable,date
Florida,20-24,White,2022,6,June,5.34,1,0,Unreliable,2022-06-01
California,20-24,White,2022,8,August,5.35,1,0,Reliable,2022-08-01
North Carolina,25-29,White,2021,11,November,5.36,0,0,Unreliable,2021-11-01
North Carolina,25-29,White,2022,11,November,5.37,1,0,Unreliable,2022-11-01
Texas,20-24,White,2022,1,January,5.38,0,1,Reliable,2022-01-01
Illinois,25-29,White,2021,5,May,5.39,0,0,Unreliable,2021-05-01
Florida,25-29,White,2022,6,June,5.41,1,0,Unreliable,2022-06-01
North Carolina,25-29,White,2022,7,July,5.42,1,0,Unreliable,2022-07-01
North Carolina,25-29,White,2022,5,May,5.42,0,0,Unreliable,2022-05-01
Ohio,30-34,White,2021,1,January,5.43,0,0,Unreliable,2021-01-01
Florida,30-34,White,2022,5,May,5.43,0,0,Reliable,2022-05-01
New York,25-29,White,2022,1,January,5.45,0,0,Unreliable,2022-01-01
Florida,30-34,White,2021,2,February,5.46,0,0,Reliable,2021-02-01
Ohio,25-29,White,2021,10,October,5.47,0,0,Unreliable,2021-10-01
Virginia,30-34,White,2022,3,March,5.5,0,0,Unreliable,2022-03-01
Ohio,25-29,White,2022,7,July,5.51,1,0,Unreliable,2022-07-01
Florida,30-34,White,2021,7,July,5.51,0,0,Reliable,2021-07-01
Illinois,25-29,White,2021,4,April,5.52,0,0,Unreliable,2021-04-01
Florida,20-24,White,2021,12,December,5.53,0,0,Unreliable,2021-12-01
Illinois,25-29,White,2021,7,July,5.54,0,0,Unreliable,2021-07-01
Florida,25-29,White,2022,8,August,5.55,1,0,Reliable,2022-08-01
California,20-24,White,2021,7,July,5.55,0,0,Reliable,2021-07-01
North Carolina,25-29,White,2022,8,August,5.56,1,0,Unreliable,2022-08-01
Pennsylvania,30-34,White,2022,12,December,5.6,1,0,Unreliable,2022-12-01
North Carolina,30-34,White,2021,9,September,5.62,0,0,Unreliable,2021-09-01
North Carolina,25-29,White,2022,2,February,5.66,0,0,Unreliable,2022-02-01
Ohio,30-34,White,2022,3,March,5.69,0,0,Unreliable,2022-03-01
California,20-24,White,2021,12,December,5.72,0,0,Reliable,2021-12-01
North Carolina,30-34,White,2021,5,May,5.74,0,0,Unreliable,2021-05-01
Indiana,25-29,White,2021,12,December,5.74,0,1,Unreliable,2021-12-01
Florida,25-29,White,2022,2,February,5.74,0,0,Unreliable,2022-02-01
North Carolina,25-29,White,2021,10,October,5.75,0,0,Unreliable,2021-10-01
Florida,20-24,White,2022,2,February,5.75,0,0,Unreliable,2022-02-01
