"","Notes","State","State.Code","Age.of.Mother.9","Age.of.Mother.9.Code","Mother.s.Single.Race.6","Mother.s.Single.Race.6.Code","Year.of.Death","Year.of.Death.Code","Month","Month.Code","Deaths","Births","Death.Rate"
"126","","Texas",48,"30-34 years","30-34","White","2106-3",2022,2022,"February",2,26,6175,"4.21"
"127","","Ohio",39,"25-29 years","25-29","White","2106-3",2022,2022,"June",6,11,2603,"4.23 (Unreliable)"
"128","","California",6,"25-29 years","25-29","White","2106-3",2022,2022,"July",7,30,7093,"4.23"
"129","","New York",36,"30-34 years","30-34","White","2106-3",2022,2022,"July",7,18,4243,"4.24 (Unreliable)"
"130","","Florida",12,"25-29 years","25-29","White","2106-3",2022,2022,"December",12,16,3768,"4.25 (Unreliable)"
"131","","California",6,"20-24 years","20-24","White","2106-3",2021,2021,"January",1,17,4003,"4.25 (Unreliable)"
"132","","Florida",12,"30-34 years","30-34","White","2106-3",2022,2022,"June",6,18,4222,"4.26 (Unreliable)"
"133","","Ohio",39,"30-34 years","30-34","White","2106-3",2022,2022,"October",10,11,2560,"4.30 (Unreliable)"
"134","","Texas",48,"20-24 years","20-24","White","2106-3",2021,2021,"December",12,24,5567,"4.31"
"135","","Ohio",39,"30-34 years","30-34","White","2106-3",2022,2022,"December",12,11,2550,"4.31 (Unreliable)"
"136","","Texas",48,"30-34 years","30-34","White","2106-3",2021,2021,"March",3,28,6470,"4.33"
"137","","California",6,"20-24 years","20-24","White","2106-3",2022,2022,"September",9,18,4157,"4.33 (Unreliable)"
"138","","Texas",48,"25-29 years","25-29","White","2106-3",2022,2022,"August",8,37,8527,"4.34"
"139","","Illinois",17,"25-29 years","25-29","White","2106-3",2022,2022,"August",8,10,2301,"4.35 (Unreliable)"
"140","","California",6,"20-24 years","20-24","White","2106-3",2022,2022,"October",10,18,4138,"4.35 (Unreliable)"
"141","","Ohio",39,"30-34 years","30-34","White","2106-3",2022,2022,"May",5,11,2528,"4.35 (Unreliable)"
"142","","Ohio",39,"25-29 years","25-29","White","2106-3",2021,2021,"July",7,12,2745,"4.37 (Unreliable)"
"143","","Texas",48,"20-24 years","20-24","White","2106-3",2021,2021,"September",9,26,5938,"4.38"
"144","","Florida",12,"30-34 years","30-34","White","2106-3",2022,2022,"March",3,19,4336,"4.38 (Unreliable)"
"145","","California",6,"20-24 years","20-24","White","2106-3",2022,2022,"January",1,18,4097,"4.39 (Unreliable)"
"146","","Pennsylvania",42,"30-34 years","30-34","White","2106-3",2021,2021,"November",11,12,2731,"4.39 (Unreliable)"
"147","","Texas",48,"25-29 years","25-29","White","2106-3",2021,2021,"September",9,35,7962,"4.40"
"148","","New York",36,"25-29 years","25-29","White","2106-3",2021,2021,"January",1,11,2495,"4.41 (Unreliable)"
"149","","Pennsylvania",42,"25-29 years","25-29","White","2106-3",2022,2022,"December",12,10,2268,"4.41 (Unreliable)"
"150","","Pennsylvania",42,"25-29 years","25-29","White","2106-3",2022,2022,"May",5,10,2266,"4.41 (Unreliable)"
"151","","Michigan",26,"30-34 years","30-34","White","2106-3",2021,2021,"July",7,11,2492,"4.41 (Unreliable)"
"152","","Florida",12,"25-29 years","25-29","White","2106-3",2021,2021,"June",6,15,3395,"4.42 (Unreliable)"
"153","","Texas",48,"20-24 years","20-24","White","2106-3",2022,2022,"February",2,21,4752,"4.42"
"154","","Michigan",26,"25-29 years","25-29","White","2106-3",2021,2021,"July",7,10,2257,"4.43 (Unreliable)"
"155","","California",6,"25-29 years","25-29","White","2106-3",2021,2021,"August",8,34,7667,"4.43"
"156","","Texas",48,"30-34 years","30-34","White","2106-3",2021,2021,"May",5,28,6305,"4.44"
"157","","Texas",48,"20-24 years","20-24","White","2106-3",2022,2022,"September",9,26,5851,"4.44"
"158","","Florida",12,"25-29 years","25-29","White","2106-3",2022,2022,"April",4,15,3358,"4.47 (Unreliable)"
"159","","California",6,"20-24 years","20-24","White","2106-3",2021,2021,"April",4,17,3803,"4.47 (Unreliable)"
"160","","Florida",12,"25-29 years","25-29","White","2106-3",2022,2022,"November",11,17,3790,"4.49 (Unreliable)"
"161","","Pennsylvania",42,"30-34 years","30-34","White","2106-3",2021,2021,"June",6,14,3111,"4.50 (Unreliable)"
"162","","Illinois",17,"30-34 years","30-34","White","2106-3",2022,2022,"December",12,12,2657,"4.52 (Unreliable)"
"163","","California",6,"20-24 years","20-24","White","2106-3",2022,2022,"December",12,18,3985,"4.52 (Unreliable)"
